"","Chromosome","Position","Strand","OriginalValue","Rank","Value"
"105","small.plasmid",24977,"+",1,105,0.999999
"106","small.plasmid",26249,"+",1,106,0.999999
"107","small.plasmid",26556,"-",1,107,0.999999
"108","small.plasmid",26813,"-",1,108,0.999999
"109","small.plasmid",27058,"-",1,109,0.999999
"110","small.plasmid",27668,"-",1,110,0.999999
"111","small.plasmid",27938,"+",1,111,0.999999
"112","small.plasmid",28281,"-",1,112,0.999999
"113","small.plasmid",28522,"-",1,113,0.999999
"114","small.plasmid",28671,"+",1,114,0.999999
"115","small.plasmid",28751,"+",1,115,0.999999
"116","small.plasmid",29331,"-",1,116,0.999999
"117","small.plasmid",29472,"-",1,117,0.999999
"118","small.plasmid",29645,"+",1,118,0.999999
"119","small.plasmid",30106,"-",1,119,0.999999
"120","small.plasmid",30869,"-",1,120,0.999999
"121","small.plasmid",30895,"-",1,121,0.999999
"122","small.plasmid",30899,"+",1,122,0.999999
"123","small.plasmid",30935,"+",1,123,0.999999
"124","small.plasmid",33833,"-",1,124,0.999999
"125","small.plasmid",34030,"-",1,125,0.999999
"126","small.plasmid",34055,"-",1,126,0.999999
"127","small.plasmid",34108,"-",1,127,0.999999
"128","small.plasmid",34255,"+",1,128,0.999999
"129","small.plasmid",34256,"-",1,129,0.999999
"130","small.plasmid",34456,"+",1,130,0.999999
"131","small.plasmid",34573,"+",1,131,0.999999
"132","small.plasmid",34576,"+",1,132,0.999999
"133","small.plasmid",34738,"-",1,133,0.999999
"134","small.plasmid",34741,"-",1,134,0.999999
"135","small.plasmid",35254,"-",1,135,0.999999
"136","small.plasmid",36178,"-",1,136,0.999999
"137","small.plasmid",36630,"+",1,137,0.999999
"138","small.plasmid",37126,"+",1,138,0.999999
"139","small.plasmid",37468,"-",1,139,0.999999
"140","small.plasmid",37486,"+",1,140,0.999999
"141","small.plasmid",38777,"+",1,141,0.999999
"142","small.plasmid",38799,"+",1,142,0.999999
"143","small.plasmid",38872,"+",1,143,0.999999
"144","small.plasmid",42193,"+",1,144,0.999999
"145","small.plasmid",42673,"+",1,145,0.999999
"146","small.plasmid",43727,"-",1,146,0.999999
"147","small.plasmid",44031,"+",1,147,0.999999
"148","small.plasmid",44414,"+",1,148,0.999999
"149","small.plasmid",45348,"+",1,149,0.999999
"150","small.plasmid",45643,"+",1,150,0.999999
"151","small.plasmid",45680,"+",1,151,0.999999
"152","small.plasmid",45758,"-",1,152,0.999999
"153","chromosome",5710948,"-",0.9953,153,0.9952990094
"154","chromosome",586110,"-",0.9951,154,0.9950990098
"155","chromosome",599197,"-",0.9951,155,0.9950990098
"156","chromosome",4458939,"-",0.9951,156,0.9950990098
"157","chromosome",1300721,"-",0.995,157,0.99499901
"158","chromosome",5356571,"-",0.995,158,0.99499901
"159","chromosome",624351,"+",0.9949,159,0.9948990102
"160","chromosome",1500781,"+",0.9949,160,0.9948990102
"161","chromosome",2453415,"+",0.9949,161,0.9948990102
"162","chromosome",5893197,"-",0.9949,162,0.9948990102
"163","chromosome",1704012,"+",0.9948,163,0.9947990104
"164","chromosome",3365679,"-",0.9948,164,0.9947990104
"165","chromosome",4826298,"-",0.9948,165,0.9947990104
"166","chromosome",5287261,"-",0.9948,166,0.9947990104
"167","chromosome",5658922,"+",0.9948,167,0.9947990104
"168","chromosome",482946,"-",0.9947,168,0.9946990106
"169","chromosome",778595,"+",0.9947,169,0.9946990106
"170","chromosome",1040565,"+",0.9947,170,0.9946990106
"171","chromosome",1502454,"+",0.9947,171,0.9946990106
"172","chromosome",2260304,"+",0.9947,172,0.9946990106
"173","chromosome",4962261,"-",0.9947,173,0.9946990106
"174","chromosome",5022977,"-",0.9947,174,0.9946990106
"175","chromosome",938466,"+",0.9946,175,0.9945990108
"176","chromosome",1590355,"+",0.9946,176,0.9945990108
"177","chromosome",3120379,"-",0.9946,177,0.9945990108
"178","chromosome",659333,"+",0.9945,178,0.994499011
"179","chromosome",823379,"+",0.9945,179,0.994499011
"180","chromosome",2078664,"+",0.9945,180,0.994499011
"181","chromosome",99292,"+",0.9944,181,0.9943990112
"182","chromosome",323452,"+",0.9944,182,0.9943990112
"183","chromosome",1057445,"-",0.9944,183,0.9943990112
"184","chromosome",1704819,"+",0.9944,184,0.9943990112
"185","chromosome",3447564,"+",0.9944,185,0.9943990112
"186","chromosome",4021784,"-",0.9944,186,0.9943990112
"187","chromosome",4530732,"-",0.9944,187,0.9943990112
"188","chromosome",4625765,"+",0.9944,188,0.9943990112
"189","chromosome",4722498,"-",0.9944,189,0.9943990112
"190","chromosome",5726939,"+",0.9944,190,0.9943990112
"191","chromosome",5847735,"-",0.9944,191,0.9943990112
"192","chromosome",76291,"+",0.9943,192,0.9942990114
"193","chromosome",3118463,"-",0.9943,193,0.9942990114
"194","chromosome",4101503,"-",0.9943,194,0.9942990114
"195","chromosome",4162504,"+",0.9943,195,0.9942990114
"196","chromosome",4627695,"-",0.9943,196,0.9942990114
"197","chromosome",39168,"+",0.9942,197,0.9941990116
"198","chromosome",83514,"+",0.9942,198,0.9941990116
"199","chromosome",556758,"+",0.9942,199,0.9941990116
"200","chromosome",3053086,"+",0.9942,200,0.9941990116
"201","chromosome",3806249,"-",0.9942,201,0.9941990116
"202","chromosome",4851185,"+",0.9942,202,0.9941990116
"203","chromosome",5440083,"-",0.9942,203,0.9941990116
"204","chromosome",297502,"-",0.9941,204,0.9940990118
"205","chromosome",2662919,"-",0.9941,205,0.9940990118
"206","chromosome",3644264,"-",0.9941,206,0.9940990118
"207","chromosome",4108797,"-",0.9941,207,0.9940990118
"208","chromosome",4240907,"-",0.9941,208,0.9940990118
"209","chromosome",839358,"-",0.994,209,0.993999012
"210","chromosome",1232419,"-",0.994,210,0.993999012
"211","chromosome",1648872,"-",0.994,211,0.993999012
"212","chromosome",1801143,"+",0.994,212,0.993999012
"213","chromosome",1806003,"+",0.994,213,0.993999012
"214","chromosome",2755450,"-",0.994,214,0.993999012
"215","chromosome",4571225,"+",0.994,215,0.993999012
"216","chromosome",5609203,"+",0.994,216,0.993999012
"217","chromosome",50030,"+",0.9939,217,0.9938990122
"218","chromosome",452851,"+",0.9939,218,0.9938990122
"219","chromosome",3699556,"-",0.9939,219,0.9938990122
"220","chromosome",1311366,"+",0.9938,220,0.9937990124
"221","chromosome",1720747,"-",0.9938,221,0.9937990124
"222","chromosome",2116329,"+",0.9938,222,0.9937990124
"223","chromosome",2592763,"-",0.9938,223,0.9937990124
"224","chromosome",3625414,"-",0.9938,224,0.9937990124
"225","chromosome",3791933,"-",0.9938,225,0.9937990124
"226","chromosome",4194401,"-",0.9938,226,0.9937990124
"227","chromosome",3469227,"+",0.9937,227,0.9936990126
"228","chromosome",2086239,"+",0.9936,228,0.9935990128
"229","chromosome",2749533,"+",0.9936,229,0.9935990128
"230","chromosome",4382567,"-",0.9936,230,0.9935990128
"231","chromosome",4678935,"-",0.9936,231,0.9935990128
"232","chromosome",4976630,"+",0.9936,232,0.9935990128
"233","chromosome",5695670,"+",0.9936,233,0.9935990128
"234","chromosome",1993246,"-",0.9935,234,0.993499013
"235","chromosome",5136899,"-",0.9935,235,0.993499013
"236","chromosome",1258582,"-",0.9934,236,0.9933990132
"237","chromosome",2420000,"+",0.9934,237,0.9933990132
"238","chromosome",5482519,"+",0.9934,238,0.9933990132
"239","chromosome",3564162,"-",0.9933,239,0.9932990134
"240","chromosome",92553,"+",0.9932,240,0.9931990136
"241","chromosome",1628385,"+",0.9932,241,0.9931990136
"242","chromosome",558988,"+",0.993,242,0.992999014
"243","chromosome",1233203,"+",0.993,243,0.992999014
"244","chromosome",2878265,"-",0.993,244,0.992999014
"245","chromosome",3023908,"-",0.993,245,0.992999014
"246","chromosome",3539272,"-",0.993,246,0.992999014
"247","chromosome",4831669,"+",0.993,247,0.992999014
"248","chromosome",5027584,"+",0.993,248,0.992999014
"249","chromosome",2186575,"+",0.9929,249,0.9928990142
"250","chromosome",3336495,"-",0.9928,250,0.9927990144
"251","chromosome",5852139,"+",0.9928,251,0.9927990144
"252","chromosome",2916289,"+",0.9927,252,0.9926990146
"253","chromosome",4231139,"-",0.9927,253,0.9926990146
"254","chromosome",971404,"+",0.9926,254,0.9925990148
"255","chromosome",2805500,"-",0.9925,255,0.992499015
"256","chromosome",3425023,"+",0.9922,256,0.9921990156
"257","chromosome",3177804,"+",0.9921,257,0.9920990158
"258","chromosome",3496149,"+",0.9918,258,0.9917990164
"259","chromosome",2667402,"-",0.9916,259,0.9915990168
"260","chromosome",2921256,"+",0.9916,260,0.9915990168
"261","chromosome",2791505,"-",0.9915,261,0.991499017
"262","chromosome",3280468,"+",0.9914,262,0.9913990172
"263","chromosome",237563,"-",0.9911,263,0.9910990178
"264","chromosome",2958155,"-",0.9911,264,0.9910990178
"265","chromosome",2142030,"-",0.991,265,0.990999018
"266","chromosome",4761431,"-",0.9909,266,0.9908990182
"267","chromosome",2242264,"-",0.9907,267,0.9906990186
"268","chromosome",2915631,"+",0.9906,268,0.9905990188
"269","chromosome",5700325,"-",0.9906,269,0.9905990188
"270","chromosome",1189290,"+",0.9905,270,0.990499019
"271","chromosome",247545,"+",0.9903,271,0.9902990194
"272","chromosome",78312,"-",0.9902,272,0.9901990196
"273","chromosome",5021282,"+",0.9902,273,0.9901990196
"274","chromosome",5019034,"+",0.9901,274,0.9900990198
"275","chromosome",588482,"+",0.99,275,0.98999902
"276","chromosome",2078981,"+",0.99,276,0.98999902
"277","large.plasmid",47611,"+",0.99,277,0.98999902
"278","chromosome",492162,"-",0.9899,278,0.9898990202
"279","chromosome",1406184,"-",0.9899,279,0.9898990202
"280","chromosome",1474154,"+",0.9899,280,0.9898990202
"281","chromosome",1755520,"+",0.9899,281,0.9898990202
"282","chromosome",66429,"+",0.9898,282,0.9897990204
"283","chromosome",2087642,"+",0.9898,283,0.9897990204
"284","chromosome",5823774,"+",0.9898,284,0.9897990204
"285","chromosome",3399776,"-",0.9897,285,0.9896990206
"286","chromosome",3401415,"-",0.9897,286,0.9896990206
"287","chromosome",4856957,"+",0.9897,287,0.9896990206
"288","chromosome",1011993,"-",0.9896,288,0.9895990208
"289","chromosome",3897608,"-",0.9896,289,0.9895990208
"290","chromosome",5462492,"-",0.9896,290,0.9895990208
"291","large.plasmid",125544,"-",0.9896,291,0.9895990208
"292","chromosome",4141015,"+",0.9895,292,0.989499021
"293","chromosome",5070349,"+",0.9895,293,0.989499021
"294","chromosome",827958,"-",0.9894,294,0.9893990212
"295","chromosome",2227313,"-",0.9894,295,0.9893990212
"296","chromosome",5299469,"-",0.9894,296,0.9893990212
"297","chromosome",1589795,"+",0.9893,297,0.9892990214
"298","chromosome",1711311,"+",0.9893,298,0.9892990214
"299","chromosome",4843895,"-",0.9893,299,0.9892990214
"300","chromosome",312118,"+",0.9892,300,0.9891990216
"301","chromosome",384208,"-",0.9892,301,0.9891990216
"302","chromosome",1266181,"-",0.9892,302,0.9891990216
"303","chromosome",5201743,"+",0.9892,303,0.9891990216
"304","chromosome",5769937,"-",0.9892,304,0.9891990216
"305","chromosome",24619,"+",0.9891,305,0.9890990218
"306","chromosome",501837,"+",0.9891,306,0.9890990218
"307","chromosome",2479017,"+",0.9891,307,0.9890990218
"308","chromosome",4158684,"-",0.9891,308,0.9890990218
"309","chromosome",4952609,"-",0.9891,309,0.9890990218
"310","chromosome",5038050,"-",0.9891,310,0.9890990218
"311","large.plasmid",74897,"+",0.9891,311,0.9890990218
"312","chromosome",167914,"-",0.989,312,0.988999022
"313","chromosome",393214,"-",0.989,313,0.988999022
"314","chromosome",622135,"+",0.989,314,0.988999022
"315","chromosome",3541811,"-",0.989,315,0.988999022
"316","chromosome",3771052,"+",0.989,316,0.988999022
"317","chromosome",4487067,"-",0.989,317,0.988999022
"318","chromosome",4491826,"+",0.989,318,0.988999022
"319","chromosome",5266798,"-",0.9889,319,0.9888990222
"320","chromosome",93155,"+",0.9888,320,0.9887990224
"321","chromosome",140410,"+",0.9888,321,0.9887990224
"322","chromosome",1377560,"+",0.9888,322,0.9887990224
"323","chromosome",2271559,"-",0.9888,323,0.9887990224
"324","chromosome",2780279,"+",0.9888,324,0.9887990224
"325","chromosome",3649299,"-",0.9888,325,0.9887990224
"326","chromosome",3677352,"+",0.9888,326,0.9887990224
"327","chromosome",4492923,"+",0.9888,327,0.9887990224
"328","chromosome",1928945,"-",0.9887,328,0.9886990226
"329","chromosome",2441843,"+",0.9887,329,0.9886990226
"330","chromosome",1711331,"+",0.9886,330,0.9885990228
"331","chromosome",2373985,"+",0.9886,331,0.9885990228
"332","chromosome",3593682,"+",0.9886,332,0.9885990228
"333","chromosome",4593527,"-",0.9886,333,0.9885990228
"334","chromosome",5286706,"+",0.9886,334,0.9885990228
"335","chromosome",5445347,"+",0.9886,335,0.9885990228
"336","chromosome",1567199,"-",0.9885,336,0.988499023
"337","chromosome",2228789,"+",0.9885,337,0.988499023
"338","chromosome",3143571,"-",0.9885,338,0.988499023
"339","chromosome",3469530,"+",0.9885,339,0.988499023
"340","chromosome",498736,"+",0.9884,340,0.9883990232
"341","chromosome",978743,"-",0.9884,341,0.9883990232
"342","chromosome",1296962,"+",0.9884,342,0.9883990232
"343","chromosome",1994032,"+",0.9884,343,0.9883990232
"344","chromosome",2060432,"+",0.9884,344,0.9883990232
"345","chromosome",2254378,"-",0.9884,345,0.9883990232
"346","chromosome",3799667,"+",0.9884,346,0.9883990232
"347","chromosome",2368113,"+",0.9883,347,0.9882990234
"348","chromosome",3118453,"+",0.9883,348,0.9882990234
"349","chromosome",5546690,"-",0.9883,349,0.9882990234
"350","chromosome",961355,"-",0.9882,350,0.9881990236
"351","chromosome",1789580,"+",0.9882,351,0.9881990236
"352","chromosome",2158917,"-",0.9882,352,0.9881990236
"353","chromosome",3805448,"-",0.9882,353,0.9881990236
"354","chromosome",4487996,"+",0.9882,354,0.9881990236
"355","chromosome",938463,"+",0.9881,355,0.9880990238
"356","chromosome",1775605,"+",0.9881,356,0.9880990238
"357","chromosome",3222811,"+",0.9881,357,0.9880990238
"358","chromosome",4178226,"-",0.9881,358,0.9880990238
"359","chromosome",82496,"+",0.988,359,0.987999024
"360","chromosome",1376374,"+",0.988,360,0.987999024
"361","chromosome",1377561,"+",0.988,361,0.987999024
"362","chromosome",2095119,"+",0.988,362,0.987999024
"363","chromosome",2837319,"+",0.988,363,0.987999024
"364","chromosome",3201962,"-",0.988,364,0.987999024
"365","chromosome",3399777,"-",0.988,365,0.987999024
"366","chromosome",3771520,"+",0.988,366,0.987999024
"367","chromosome",4606470,"-",0.988,367,0.987999024
"368","chromosome",5278549,"-",0.988,368,0.987999024
"369","chromosome",225897,"+",0.9879,369,0.9878990242
"370","chromosome",3705968,"+",0.9878,370,0.9877990244
"371","chromosome",454782,"-",0.9877,371,0.9876990246
"372","chromosome",1259296,"+",0.9877,372,0.9876990246
"373","chromosome",1477119,"-",0.9877,373,0.9876990246
"374","chromosome",1529241,"+",0.9877,374,0.9876990246
"375","chromosome",2261455,"+",0.9877,375,0.9876990246
"376","chromosome",2537115,"+",0.9877,376,0.9876990246
"377","chromosome",3564102,"-",0.9877,377,0.9876990246
"378","chromosome",3747104,"-",0.9877,378,0.9876990246
"379","chromosome",4056497,"-",0.9877,379,0.9876990246
"380","chromosome",1501756,"-",0.9876,380,0.9875990248
"381","chromosome",2234735,"+",0.9876,381,0.9875990248
"382","chromosome",2561328,"+",0.9876,382,0.9875990248
"383","chromosome",3709341,"-",0.9876,383,0.9875990248
"384","chromosome",109425,"+",0.9875,384,0.987499025
"385","chromosome",343326,"+",0.9875,385,0.987499025
"386","chromosome",3399970,"+",0.9875,386,0.987499025
"387","chromosome",1164914,"+",0.9874,387,0.9873990252
"388","chromosome",2317534,"+",0.9874,388,0.9873990252
"389","chromosome",2749536,"+",0.9874,389,0.9873990252
"390","chromosome",3069041,"-",0.9874,390,0.9873990252
"391","chromosome",4122842,"-",0.9874,391,0.9873990252
"392","chromosome",551817,"-",0.9873,392,0.9872990254
"393","chromosome",1681269,"+",0.9873,393,0.9872990254
"394","chromosome",3958199,"-",0.9873,394,0.9872990254
"395","chromosome",4870982,"-",0.9873,395,0.9872990254
"396","chromosome",1857338,"+",0.9872,396,0.9871990256
"397","chromosome",3747094,"+",0.9872,397,0.9871990256
"398","chromosome",5225016,"-",0.9872,398,0.9871990256
"399","chromosome",4947703,"-",0.9871,399,0.9870990258
"400","chromosome",269787,"+",0.987,400,0.986999026
"401","chromosome",2486847,"+",0.987,401,0.986999026
"402","chromosome",4289610,"+",0.987,402,0.986999026
"403","chromosome",4414488,"-",0.987,403,0.986999026
"404","chromosome",1969943,"+",0.9869,404,0.9868990262
"405","chromosome",2282464,"+",0.9869,405,0.9868990262
"406","chromosome",3282099,"+",0.9868,406,0.9867990264
"407","chromosome",3863346,"-",0.9868,407,0.9867990264
"408","chromosome",4231776,"-",0.9868,408,0.9867990264
"409","chromosome",1071934,"+",0.9867,409,0.9866990266
"410","chromosome",1287352,"-",0.9867,410,0.9866990266
"411","chromosome",2742965,"+",0.9867,411,0.9866990266
"412","chromosome",986924,"-",0.9866,412,0.9865990268
"413","chromosome",1565865,"+",0.9866,413,0.9865990268
"414","chromosome",1312784,"+",0.9865,414,0.986499027
"415","chromosome",5511578,"-",0.9865,415,0.986499027
"416","chromosome",5821635,"-",0.9865,416,0.986499027
"417","chromosome",986926,"-",0.9864,417,0.9863990272
"418","chromosome",2965232,"-",0.9864,418,0.9863990272
"419","chromosome",4085647,"+",0.9864,419,0.9863990272
"420","chromosome",672757,"-",0.9863,420,0.9862990274
"421","chromosome",2023914,"+",0.9863,421,0.9862990274
"422","chromosome",3181512,"+",0.9863,422,0.9862990274
"423","chromosome",3578195,"-",0.9862,423,0.9861990276
"424","chromosome",4828426,"-",0.9862,424,0.9861990276
"425","chromosome",3328962,"-",0.9861,425,0.9860990278
"426","chromosome",1311373,"+",0.986,426,0.985999028
"427","chromosome",2484938,"+",0.986,427,0.985999028
"428","chromosome",3263916,"-",0.986,428,0.985999028
"429","chromosome",3273242,"-",0.986,429,0.985999028
"430","chromosome",5695257,"+",0.986,430,0.985999028
"431","chromosome",5924303,"-",0.986,431,0.985999028
"432","chromosome",3361002,"-",0.9859,432,0.9858990282
"433","chromosome",3461256,"-",0.9859,433,0.9858990282
"434","chromosome",4880458,"+",0.9859,434,0.9858990282
"435","chromosome",3545766,"+",0.9858,435,0.9857990284
"436","chromosome",1889087,"-",0.9857,436,0.9856990286
"437","chromosome",4711438,"-",0.9857,437,0.9856990286
"438","chromosome",5407143,"-",0.9857,438,0.9856990286
"439","chromosome",1069542,"+",0.9856,439,0.9855990288
"440","chromosome",3538455,"+",0.9856,440,0.9855990288
"441","chromosome",3740268,"+",0.9856,441,0.9855990288
"442","chromosome",4484633,"-",0.9856,442,0.9855990288
"443","chromosome",5031538,"-",0.9856,443,0.9855990288
"444","chromosome",5376785,"-",0.9856,444,0.9855990288
"445","chromosome",5654036,"-",0.9856,445,0.9855990288
"446","chromosome",2079255,"+",0.9855,446,0.985499029
"447","chromosome",2721226,"+",0.9855,447,0.985499029
"448","chromosome",3266890,"+",0.9855,448,0.985499029
"449","chromosome",2192267,"-",0.9853,449,0.9852990294
"450","chromosome",3282217,"-",0.9853,450,0.9852990294
"451","chromosome",102942,"-",0.9852,451,0.9851990296
"452","chromosome",1386846,"-",0.9852,452,0.9851990296
"453","chromosome",1748340,"+",0.9852,453,0.9851990296
"454","chromosome",3566621,"+",0.9851,454,0.9850990298
"455","chromosome",2100487,"-",0.985,455,0.98499903
"456","chromosome",3900436,"-",0.9849,456,0.9848990302
"457","chromosome",16194,"+",0.9848,457,0.9847990304
"458","chromosome",68243,"-",0.9848,458,0.9847990304
"459","chromosome",326511,"+",0.9848,459,0.9847990304
"460","chromosome",1291821,"+",0.9848,460,0.9847990304
"461","chromosome",1308851,"-",0.9848,461,0.9847990304
"462","chromosome",1841978,"+",0.9847,462,0.9846990306
"463","chromosome",561947,"-",0.9846,463,0.9845990308
"464","chromosome",1300711,"+",0.9846,464,0.9845990308
"465","chromosome",2079265,"-",0.9846,465,0.9845990308
"466","chromosome",5039068,"+",0.9845,466,0.984499031
"467","chromosome",30144,"-",0.9844,467,0.9843990312
"468","chromosome",431306,"-",0.9844,468,0.9843990312
"469","chromosome",1259295,"+",0.9844,469,0.9843990312
"470","chromosome",1841278,"+",0.9844,470,0.9843990312
"471","chromosome",828575,"-",0.9843,471,0.9842990314
"472","chromosome",1710462,"-",0.9843,472,0.9842990314
"473","chromosome",3907817,"+",0.9841,473,0.9840990318
"474","chromosome",5108674,"+",0.9841,474,0.9840990318
"475","chromosome",5526849,"+",0.9841,475,0.9840990318
"476","chromosome",1796107,"+",0.984,476,0.983999032
"477","chromosome",2592690,"+",0.984,477,0.983999032
"478","chromosome",484316,"-",0.9839,478,0.9838990322
"479","chromosome",1959873,"+",0.9839,479,0.9838990322
"480","chromosome",2450396,"+",0.9839,480,0.9838990322
"481","chromosome",2590810,"+",0.9839,481,0.9838990322
"482","chromosome",437761,"+",0.9838,482,0.9837990324
"483","chromosome",3969114,"-",0.9838,483,0.9837990324
"484","chromosome",416047,"-",0.9837,484,0.9836990326
"485","chromosome",1582439,"+",0.9837,485,0.9836990326
"486","chromosome",2586739,"+",0.9837,486,0.9836990326
"487","chromosome",3892199,"-",0.9837,487,0.9836990326
"488","chromosome",706618,"-",0.9836,488,0.9835990328
"489","chromosome",1428140,"-",0.9836,489,0.9835990328
"490","chromosome",1901903,"-",0.9836,490,0.9835990328
"491","chromosome",5100868,"+",0.9836,491,0.9835990328
"492","chromosome",510107,"-",0.9835,492,0.983499033
"493","chromosome",669084,"+",0.9835,493,0.983499033
"494","chromosome",2097146,"+",0.9835,494,0.983499033
"495","chromosome",2741934,"+",0.9835,495,0.983499033
"496","chromosome",4246095,"-",0.9835,496,0.983499033
"497","chromosome",5675865,"+",0.9835,497,0.983499033
"498","chromosome",755170,"+",0.9834,498,0.9833990332
"499","chromosome",2373145,"+",0.9834,499,0.9833990332
"500","chromosome",2390651,"-",0.9834,500,0.9833990332
"501","chromosome",3054159,"+",0.9834,501,0.9833990332
"502","chromosome",4112115,"-",0.9834,502,0.9833990332
"503","chromosome",391151,"-",0.9833,503,0.9832990334
"504","chromosome",3314548,"+",0.9833,504,0.9832990334
"505","chromosome",4342122,"-",0.9833,505,0.9832990334
"506","chromosome",5860369,"-",0.9833,506,0.9832990334
"507","chromosome",170178,"+",0.9832,507,0.9831990336
"508","chromosome",3786370,"+",0.9832,508,0.9831990336
"509","chromosome",4724079,"-",0.9832,509,0.9831990336
"510","chromosome",5047560,"-",0.9832,510,0.9831990336
"511","chromosome",1232418,"-",0.9831,511,0.9830990338
